,,,,,,
,,,,,,
,Transporte (Opal Card),~$50,~$216,Importante: Estudiantes internacionales pagan tarifa adulto. El tope semanal es de $50.,,
,Servicios (Luz/Gas/Internet),$40 - $60,$173 - $260,Generalmente extra al alquiler en casas compartidas. Internet NBN es estándar.,,
,Celular (Sim Only),$10 - $20,$40 - $80,Planes con gran cantidad de datos (5G es estándar en CBD).,,
,"Ocio y ""Café""",$100 - $150,$433 - $650,"3 cafés/semana + 1 salida nocturna o cine. El ""Flat White"" cuesta aprox. $5.50-$6.00.",,
,Seguro Médico (OSHC),Pagado Anual,~$230 (Prorrateado),"Se paga todo junto al inicio (~$2,800/3 años), pero impacta el flujo de caja.",,
,TOTAL ESTIMADO,$730 - $980+,"$3,162 - $4,245+","Se recomienda demostrar solvencia de al menos $3,000 AUD/mes.",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
AUCKLAND,Categoría de Gasto,"Perfil ""Ahorrador"" (NZD)","Perfil ""Medio"" (NZD)","Perfil ""Confort"" (NZD)",Detalles y Contexto 2027,
,Alojamiento,$230 - $260,$320 - $380,$530 - $600,Ahorrador: Habitación compartida en suburbio (West/South). Medio: Habitación privada en piso compartido (flat) en zona central o suburbio premium. Confort: Residencia universitaria con comidas (Catered Hall) como O'Rorke o Grafton.,
,Alimentación (Supermercado),$90 - $110,$140 - $160,$200+,Basado en compras exclusivas en Pak'nSave y cocina casera vs. compras en Woolworths/New World y comidas preparadas.,
,Comer Fuera / Social,$30,$60,$120,Ahorrador: 1 comida barata/café. Medio: 1-2 cenas en restaurantes BYO. Confort: Restaurantes CBD y vida nocturna regular.,
,Transporte Público,$25,$40,$60,Calculado con 40% de descuento terciario. Varía según zonas viajadas. El perfil alto asume uso frecuente de Uber/taxis.,
,Servicios (Energía/Internet),$25,$40,Inluido,"En pisos compartidos, se divide electricidad e internet fibra. En Residencias (Halls), suele estar incluido en la tarifa semanal.",
,Telefonía Móvil,$5,$10,$15,"Planes prepago mensuales promediados semanalmente. Planes ""Rollover"" son comunes.",
,Seguro Médico,$18,$18,$18,Obligatorio. Prima anual ~$950 prorrateada semanalmente.,
,Materiales / Otros,$15,$25,$50,"Impresiones, higiene personal, lavandería (si no está incluida).",
,TOTAL ESTIMADO SEMANAL,$438 - $493,$653 - $733,$993+,,
,TOTAL ANUAL (40 semanas),"~$18,800","~$28,000","~$40,000+","Nota: INZ requiere demostrar $20,000/año , pero la realidad para un nivel de vida digno en Auckland supera esta cifra para la mayoría.",
,,,,,,
,,,,,,
RIYADH ,Categoría de Gasto (Anual),Escenario A: Becario (Universidad Pública - KSU/PNU),Escenario B: Autofinanciado (Universidad Privada - Alfaisal/PSU),Análisis y Proyección 2027,,
,Matrícula Académica,0 SAR (Cubierta al 100%),"94,000 - 105,000 SAR","Alfaisal cobra ~94k SAR base. PSU cobra ~3,000 SAR/crédito. Se proyecta un ajuste inflacionario del 3-5% para 2027.",,
,Alojamiento,0 SAR (Residencias Incluidas),"30,000 - 75,000 SAR",Costo de un estudio/apto 1 hab. El rango varía drásticamente entre el Sur (barato) y el Norte (caro). Dormitorios privados en PSU cuestan ~15-17k SAR/semestre.,,
,Alimentación,"6,500 - 9,000 SAR","14,000 - 20,000 SAR",Becarios acceden a comedores subsidiados. Autofinanciados enfrentan precios de mercado (supermercados + restaurantes). Inflación alimentos ~1.3% anual.,,
,Transporte,"520 - 1,500 SAR","3,500 - 8,000 SAR",El pase de Metro estudiantil cuesta 260 SAR/semestre. El transporte privado (Uber/Auto) es significativamente más caro.,,
,Seguro Médico,0 SAR (Cobertura Gubernamental),"2,500 - 6,000 SAR",Obligatorio para renovación de Iqama. El costo varía según la red de hospitales y la edad.,,
,Costos Gubernamentales (Iqama),0 SAR (Exento/Cubierto),"500 - 1,500 SAR",Renovación anual de residencia y visas de salida/re-entrada múltiple.,,
,Libros y Materiales,0 - 600 SAR,"2,500 - 4,500 SAR","Muchas becas incluyen subsidios específicos. En carreras técnicas privadas, el costo de materiales y licencias de software es alto.",,
,Entretenimiento y Ocio,"4,000 - 7,000 SAR","8,000 - 15,000 SAR","Participación en Riyadh Season, cines, gimnasios. La oferta de ocio se ha premiumizado, elevando el ticket promedio.",,
,Comunicación (Móvil/Data),"1,200 - 1,800 SAR","1,800 - 2,400 SAR",Planes 5G. La infraestructura digital es excelente pero tiene un costo de mercado estándar.,,
,Vuelos Internacionales,0 SAR (1 boleto anual incluido),"3,000 - 8,000 SAR",Variable según país de origen y fluctuaciones del combustible aéreo.,,
,TOTAL ANUAL ESTIMADO,"~12,220 - 19,900 SAR*","~159,800 - 245,400 SAR","El becario recibe un estipendio mensual (~850-900 SAR) que compensa estos costos, resultando en un costo neto cercano a cero.",,
,,,,,,
,,,,,,
RIO DE JANEIRO,Categoría de Gasto,Ítem Específico,Costo Estándar (Zona Norte/Centro),Costo Premium (Zona Sur),Notas / Referencias,
,Alojamiento,Habitación en piso compartido,R$ 800 - R$ 1.200,R$ 1.800 - R$ 3.000,Zona Sur (Ipanema/Leblon) disparada por alta demanda turística.,
,,Apartamento Monoambiente,R$ 1.500 - R$ 2.200,R$ 4.500+,Requiere garantía (fiador) o depósito de 3 meses.,
,Alimentación,Mercado Mensual,R$ 700 - R$ 900,R$ 1.200+,Canasta básica en alza (inflación alimentos).,
,,Restaurante Universitario (RU),"R$ 60,00 (mensual)",N/A,"Cálculo base: R$ 3,00/comida (si se mantiene subsidio).",
,,"Restaurante ""Por Kilo""",R$ 50 - R$ 70 / kg,R$ 90 - R$ 140 / kg,Precios de almuerzo ejecutivo.,
,Transporte,Metrô Rio (Tarifa Plena),"R$ 8,20 / viaje","R$ 8,20 / viaje",Tarifa proyectada tras aumento abril 2026.,
,,Autobús / BRT / VLT,"R$ 5,00 / viaje","R$ 5,00 / viaje",Tarifa unificada municipal.,
,,Uber / Apps (Trayecto medio),R$ 15 - R$ 25,R$ 20 - R$ 35,"Tarifa base + km (~R$ 1,20/km).",
,Servicios,Internet Fibra + Móvil,R$ 150,R$ 150,Paquetes combinados estándar.,
,,Gimnasio (SmartFit/BlueFit),R$ 120,R$ 150 - R$ 200,Cadenas low cost vs. gimnasios de barrio Zona Sur.,
,Ocio,Salida nocturna (tragos/entrada),R$ 100,R$ 300+,Zona Sur y Lapa tienen precios muy dispares.,
,TOTAL ESTIMADO,Rango Mensual,R$ 2.200 - R$ 2.800,R$ 5.000 - R$ 7.000+,No incluye matrícula universitaria privada.,
